[(1,2);(1,3);(1,4);(1,5);(1,6);(2,6);(3,6);(4,6);(5,6)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(3,6);(2,6);(4,6);(5,6)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(3,6);(4,6);(2,6);(5,6)]: SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(3,6);(4,6);(5,6);(2,6)]: SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(2,6);(4,6);(3,6);(5,6)]: SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(4,6);(2,6);(3,6);(5,6)]: SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(4,6);(3,6);(2,6);(5,6)]: SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(4,6);(3,6);(5,6);(2,6)]: SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(2,6);(4,6);(5,6);(3,6)]: SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(4,6);(2,6);(5,6);(3,6)]: SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(4,6);(5,6);(2,6);(3,6)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(4,6);(5,6);(3,6);(2,6)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(2,6);(3,6);(5,6);(4,6)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(3,6);(2,6);(5,6);(4,6)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(3,6);(5,6);(2,6);(4,6)]: SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(3,6);(5,6);(4,6);(2,6)]: SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(2,6);(5,6);(3,6);(4,6)]: SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(5,6);(2,6);(3,6);(4,6)]: SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(5,6);(3,6);(2,6);(4,6)]: SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(5,6);(3,6);(4,6);(2,6)]: SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(2,6);(5,6);(4,6);(3,6)]: SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(5,6);(2,6);(4,6);(3,6)]: SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(5,6);(4,6);(2,6);(3,6)]: NOT SNI
[(1,2);(1,3);(1,4);(1,5);(1,6);(5,6);(4,6);(3,6);(2,6)]: NOT SNI
